店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
地鶏と網焼き 個室居酒屋 鶏匠 浜松駅前店,070-1473-2489,,静岡県,浜松市中央区,鍛冶町503,松菱通りB-2ビル1F,https://nc9n200.gorp.jp/,TRUE
完全個室 海鮮と産地鶏の炭火焼 うお鶏 浜松店,053-455-3833,,静岡県,浜松市中央区,鍛冶町140,浜松イズムCビルB1,,FALSE
隠れ家 Dining Sign（サイン）,053-452-5656,,静岡県,浜松市中央区,千歳町75,かき美ビル2F,https://nbfw600.gorp.jp/,TRUE
個室居酒屋×鉄板料理 食べ飲み放題 浜鉄 浜松駅前店,053-528-7707,,静岡県,浜松市中央区,旭町10-8,浜松駅前ビル2F,https://n169680.gorp.jp/,TRUE
全席個室 居酒屋 焼き鳥 飲み放題 地鶏坊主 浜松駅前店,053-458-5088,,静岡県,浜松市中央区,砂山町322-6,一兆ビル4.5.6F,,FALSE
神戸クック・ワールドビュッフェ ザザシティ浜松店,053-523-8999,,静岡県,浜松市中央区,鍛冶町100-1,ザザシティ浜松中央館2F,https://nc9n800.gorp.jp/,TRUE
完全個室 天ぷら 海鮮 焼き鳥 おでん 天串 浜松駅前店,053-452-6858,,静岡県,浜松市中央区,旭町10-8,浜松駅前ビル1F,,FALSE
焼鳥・餃子・肉寿司食べ放題 個室居酒屋 はままつ劇場 浜松本店,053-401-0978,,静岡県,浜松市中央区,肴町322-202,F,,FALSE
大衆酒場 ひとめぼれ 浜松駅前店,080-1908-9818,,静岡県,浜松市中央区,千歳町95-9,花柳ビル1F,https://ncbh700.gorp.jp/,TRUE
【個室席完備】炭火ノ串や。 ニューハカタスタイル 浜松駅前店,050-8881-4920,,静岡県,浜松市中央区,鍛冶町319-6,コスモ第2ビル1F,,FALSE
寿司 焼鳥 食べ放題 完全個室 肉と海鮮 浜松商店 浜松本店,053-401-0978,,静岡県,浜松市中央区,肴町322-202,F,,FALSE
半個室居酒屋 夢酒場,090-4402-8999,,静岡県,浜松市中央区,肴町318-3,,,FALSE
【完全個室】旬和食・食べ飲み放題 銀座 けんしろう 浜松駅本店,053-489-5592,,静岡県,浜松市中央区,肴町322-20,WAVE BLDG.2F,,FALSE
SUMI base やおや 浜松店,053-525-6162,,静岡県,浜松市中央区,肴町319-1,NOaH BUILDING B1,https://nc7s000.gorp.jp/,TRUE
ひつまぶし 長楽 浜松店,053-525-6350,,静岡県,浜松市中央区,千歳町102-2,,https://nc7e100.gorp.jp/,TRUE
