店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
完全個室 海鮮と産地鶏の炭火焼 うお鶏 浜松店,053-455-3833,,静岡県,浜松市中央区鍛冶町,140,浜松イズムCビルB1,https://uotori-hamamatsu.gorp.jp/,True
大衆酒場 ひとめぼれ 浜松駅前店,080-1908-9818,,静岡県,浜松市中央区千歳町,95-9,花柳ビル1F,https://ncbh700.gorp.jp/,True
隠れ家 Dining Sign（サイン）,053-452-5656,,静岡県,浜松市中央区千歳町,75,かき美ビル2F,https://nbfw600.gorp.jp/,True
地鶏と網焼き 個室居酒屋 鶏匠 浜松駅前店,070-1473-2489,,静岡県,浜松市中央区鍛冶町,503,松菱通りB-2ビル1F,https://nc9n200.gorp.jp/,True
個室居酒屋×鉄板料理 食べ飲み放題 浜鉄 浜松駅前店,053-528-7707,,静岡県,浜松市中央区旭町,10-8,浜松駅前ビル2F,https://n169680.gorp.jp/,True
完全個室 天ぷら 海鮮 焼き鳥 おでん 天串 浜松駅前店,053-452-6858,,静岡県,浜松市中央区旭町,10-8,浜松駅前ビル1F,https://n169669.gorp.jp/,True
全席個室 居酒屋 焼き鳥 飲み放題 地鶏坊主 浜松駅前店,053-458-5088,,静岡県,浜松市中央区砂山町,322-6,一兆ビル4.5.6F,https://n169688.gorp.jp/,True
焼鳥・餃子・肉寿司食べ放題 個室居酒屋 はままつ劇場 浜松本店,053-401-0978,,静岡県,浜松市中央区肴町,322-202,F,,False
半個室居酒屋 夢酒場,090-4402-8999,,静岡県,浜松市中央区肴町,318-3,,https://ncav100.gorp.jp/,True
【完全個室】旬和食・食べ飲み放題 銀座 けんしろう 浜松駅本店,053-489-5592,,静岡県,浜松市中央区肴町,322-20,WAVE BLDG.2F,https://ncau100.gorp.jp/,True
寿司 焼鳥 食べ放題 完全個室 肉と海鮮 浜松商店 浜松本店,053-401-0978,,静岡県,浜松市中央区肴町,322-202,F,,False
神戸クック・ワールドビュッフェ ザザシティ浜松店,053-523-8999,,静岡県,浜松市中央区鍛冶町,100-1,ザザシティ浜松中央館2F,https://nc9n800.gorp.jp/,True
【個室席完備】炭火ノ串や。 ニューハカタスタイル 浜松駅前店,050-8881-4920,,静岡県,浜松市中央区鍛冶町,319-6,コスモ第2ビル1F,,False
個室居酒屋 海鮮×炭×八丁味噌 燈 ‐tomoshibi‐ 浜松店,0535-22-9179,,静岡県,浜松市中央区鍛冶町,320-23,Q‐FACE B1,https://nbh1603.gorp.jp/,True
ひつまぶし 長楽 浜松店,053-525-6350,,静岡県,浜松市中央区千歳町,102-2,,https://nc7e100.gorp.jp/,True
SUMI base やおや 浜松店,053-525-6162,,静岡県,浜松市中央区肴町,319-1,NOaH BUILDING B1,https://nc7s000.gorp.jp/,True
炭火焼鳥 二代目葵家,053-489-5902,,静岡県,浜松市中央区田町,323-11,,https://nbr8802.gorp.jp/,True
割烹 蒼,053-458-2111,,静岡県,浜松市中央区肴町,313-15,,https://ncby300.gorp.jp/,True
魚料理専門 魚魚一（とといち）,053-458-6343,,静岡県,浜松市中央区肴町,318-28,ペッシェビル3F,https://totoichi.gorp.jp/,True
炉端とおでん 呼炉凪来 浜松駅店,053-523-8770,,静岡県,浜松市中央区肴町,322-20,WAVE BLDG.3F,https://nc9g600.gorp.jp/,True
鉄飯居酒屋Grulli（ぐるり）浜松,053-456-8450,,静岡県,浜松市中央区鍛冶町,319-10,,https://nbe3005.gorp.jp/,True
千歳 うな良 浜松駅店,053-401-3008,,静岡県,浜松市中央区千歳町,77,,https://yume-saku.gorp.jp/,True
浜松豚しゃぶ 葱豚庵,053-488-8872,,静岡県,浜松市中央区千歳町,71-11,F,https://nb7n006.gorp.jp/,True
自然薯とろばた焼き とろろば,050-8888-0788,,静岡県,浜松市中央区元城町,223-1,アルスパーキング1F AP-1A,https://ncb9600.gorp.jp/,True
縁だこ 浜松本店,053-488-6888,,静岡県,浜松市中央区肴町,317-13,コンドウビル,https://nc2s902.gorp.jp/,True
九州魂 浜松駅前店,053-482-9565,,静岡県,浜松市中央区千歳町,95-9,花柳ビル2F,https://n634124.gorp.jp/,True
もんもん,053-457-1780,,静岡県,浜松市中央区田町,315-22,,https://nafd802.gorp.jp/,True
wasabi,053-458-5585,,静岡県,浜松市中央区田町,325-38,笠井屋ビルディングアネックス3～4F,https://nb7n003.gorp.jp/,True
くいもの屋わん 浜松駅前店,053-450-2800,,静岡県,浜松市中央区千歳町,95-9,花柳ビル2F,https://wan-hamamatsuekimae.gorp.jp/,True
実味実 和房 かぶと,053-523-9222,,静岡県,浜松市中央区板屋町,6732,F,https://nbr8400.gorp.jp/,True
かば屋 浜松南口駅前店,053-454-5288,,静岡県,浜松市中央区砂山町,322-6,株式会社一兆ビル3F,https://nb5d756.gorp.jp/,True
京城園 本店,054-286-7725,,静岡県,静岡市駿河区馬渕,2-14-13,,https://keijoenhonten.gorp.jp/,True
個室居酒屋 和咲美‐wasabi‐ 静岡駅前店,090-6701-7093,,静岡県,静岡市葵区黒金町,55,静岡交通ビル4F,https://nc9x900.gorp.jp/,True
完全個室 海鮮と産地鶏の炭火焼 うお鶏 静岡駅店,054-274-2121,,静岡県,静岡市葵区両替町,2-4-16,金龍ビル2F,https://tsunagi-shizuoka.gorp.jp/,True
全席個室 楽蔵 ‐RAKUZO‐ 静岡南口駅前店,050-2018-8888,,静岡県,静岡市駿河区南町,10-1,アクロスキューブ静岡6F,,False
全席個室 和食つたの,054-251-0767,,静岡県,静岡市葵区昭和町,6-2,アイワンビル3F,https://nbh5500.gorp.jp/,True
個室居酒屋 八十八‐yasohachi‐ 静岡店,090-9203-7569,,静岡県,静岡市駿河区南町,6-1,南町第一ビル1F,https://ncax300.gorp.jp/,True
食べ放題 個室居酒屋 餃子のかっちゃん 静岡店,054-292-5280,,静岡県,静岡市葵区紺屋町,7-8,第三ヒダビル,https://ncd5300.gorp.jp/,True
牛たん・馬刺し・特撰和牛 個室肉酒場 ぶれゑめん 静岡駅前店,054-272-4130,,静岡県,静岡市葵区紺屋町,6-9,紺屋町中ビル2F,https://nc7a300.gorp.jp/,True
近江牛ホルモン畜産すだく呉服町店,054-397-8740,,静岡県,静岡市葵区呉服町,2-5-211,F,https://nc2p905.gorp.jp/,True
入船鮨 葵タワー店,054-251-9178,,静岡県,静岡市葵区紺屋町,17-1,B1,https://irifunezushi-aoitower.gorp.jp/,True
入船鮨 両替町店,054-252-9178,,静岡県,静岡市葵区両替町,2-7-10,,https://irifunezushi-ryougaechoten.gorp.jp/,True
入船鮨 南店,054-282-1158,,静岡県,静岡市駿河区南町,6-6,,https://irifunezushi-minamiten.gorp.jp/,True
個室居酒屋 肉庵 和食小僧 静岡本店,054-266-7166,,静岡県,静岡市葵区御幸町,7-11,御幸ビル4F,https://nc78800.gorp.jp/,True
縁だこ 静岡両替町店,054-255-8877,,静岡県,静岡市葵区両替町,2-3-5,桃太郎ビル1F,https://nc2s900.gorp.jp/,True
山海食彩 実りの樹,054-253-2710,,静岡県,静岡市葵区駒形通,1-1-30,実りの樹1F,https://naxw400.gorp.jp/,True
炭火焼もん きんちゃく家,054-284-4199,,静岡県,静岡市駿河区南町,2-2,,https://shizuok-kankan-sakaba.gorp.jp/,True
ワインとハイボール 厨房 Mcase （エムケース）,080-9736-1683,,静岡県,静岡市葵区伝馬町,8-15,朝日ビル2F,https://nc9x700.gorp.jp/,True
かに料理 静岡甲羅 本店,054-288-7771,kora6118@deluxe.ocn.ne.jp,静岡県,静岡市駿河区中田,1-5-10,,https://n001028.gorp.jp/,True
炭焼酒場ヘチナス,070-2188-2769,,静岡県,静岡市葵区鷹匠,1-2-1,SOZOSYA鷹匠ビル2F,https://ncc5300.gorp.jp/,True
